序號,日期,傳票,項目,科目,描述,金額,借/貸
,2021/4/1 上午 12:00:00,WF20210401001,1,6114,油資,131,1
,2021/4/1 上午 12:00:00,WF20210401001,2,1113,油資,138,2
,2021/4/8 上午 12:00:00,WF20210408001,1,6114,油資,135,1
,2021/4/8 上午 12:00:00,WF20210408001,3,1113,油資,142,2
,2021/4/14 上午 12:00:00,WF20210414001,2,6114,油資,132,1
,2021/4/14 上午 12:00:00,WF20210414001,3,1113,油資,139,2
,2021/4/25 上午 12:00:00,WF20210425001,1,6114,油資,130,1
,2021/4/25 上午 12:00:00,WF20210425001,3,1113,油資,137,2
,2021/5/2 上午 12:00:00,WF20210502001,1,6114,油資,130,1
,2021/5/2 上午 12:00:00,WF20210502001,3,1113,油資,137,2
,2021/5/9 上午 12:00:00,WF20210509001,1,6114,油資,48,1
,2021/5/9 上午 12:00:00,WF20210509001,3,1113,油資,50,2
,2021/5/14 上午 12:00:00,WF20210514001,1,6114,油資,130,1
,2021/5/14 上午 12:00:00,WF20210514001,3,1113,油資,136,2
,2021/5/23 上午 12:00:00,WF20210523001,1,6114,油資,133,1
,2021/5/23 上午 12:00:00,WF20210523001,3,1113,油資,140,2
,2021/5/31 上午 12:00:00,WF20210531002,1,6114,油資,137,1
,2021/5/31 上午 12:00:00,WF20210531002,3,1113,油資,144,2
,2021/6/24 上午 12:00:00,WF20210624001,1,6114,油資,131,1
,2021/6/24 上午 12:00:00,WF20210624001,3,1113,油資,138,2
,2021/7/1 上午 12:00:00,WF20210701001,1,6114,油資,137,1
,2021/7/1 上午 12:00:00,WF20210701001,3,1113,油資,144,2
,2021/7/20 上午 12:00:00,WF20210720001,1,6114,油資,48,1
,2021/7/20 上午 12:00:00,WF20210720001,3,1113,油資,50,2
,2021/7/28 上午 12:00:00,WF20210728001,1,6114,油資,95,1
,2021/7/28 上午 12:00:00,WF20210728001,3,1113,油資,100,2
,2021/8/1 上午 12:00:00,WF20210801001,1,6114,油資,95,1
,2021/8/1 上午 12:00:00,WF20210801001,3,1113,油資,100,2
,2021/8/7 上午 12:00:00,WF20210807001,1,6114,油資,95,1
,2021/8/7 上午 12:00:00,WF20210807001,3,1113,油資,100,2
,2021/8/19 上午 12:00:00,WF20210819001,1,6114,油資,95,1
,2021/8/19 上午 12:00:00,WF20210819001,3,1113,油資,100,2
,2021/9/16 上午 12:00:00,WF20210916001,1,6114,電話費,637,1
,2021/9/16 上午 12:00:00,WF20210916001,3,1113,電話費,669,2
,2021/9/29 上午 12:00:00,WF20210929001,1,6114,電話費,147,1
,2021/9/29 上午 12:00:00,WF20210929001,3,1113,電話費,154,2
,2021/10/5 上午 12:00:00,WF20211005001,1,6114,油資,137,1
,2021/10/5 上午 12:00:00,WF20211005001,3,1113,油資,144,2
,2021/10/11 上午 12:00:00,WF20211011001,1,6114,油資,142,1
,2021/10/11 上午 12:00:00,WF20211011001,3,1113,油資,149,2
,2021/10/22 上午 12:00:00,WF20211022001,1,6114,郵資,150,1
,2021/10/22 上午 12:00:00,WF20211022001,3,1113,郵資,157,2
,2021/11/1 上午 12:00:00,WF20211101001,1,6114,20211016--油資,136,1
,2021/11/1 上午 12:00:00,WF20211101001,3,1113,20211016--油資,143,2
,2021/11/3 上午 12:00:00,WF20211103001,1,6114,油資,150,1
,2021/11/3 上午 12:00:00,WF20211103001,3,1113,油資,158,2
,2021/11/12 上午 12:00:00,WF20211112001,1,6114,油資,150,1
,2021/11/12 上午 12:00:00,WF20211112001,3,1113,油資,157,2
,2021/11/27 上午 12:00:00,WF20211127001,1,6114,汔車油資,288,1
,2021/11/27 上午 12:00:00,WF20211127001,3,1113,汔車油資,302,2
,2021/11/27 上午 12:00:00,WF20211127002,1,6114,停車費,71,1
,2021/11/27 上午 12:00:00,WF20211127002,3,1113,停車費,75,2
,2021/11/27 上午 12:00:00,WF20211127003,1,6114,汔車油資,95,1
,2021/11/27 上午 12:00:00,WF20211127003,3,1113,汔車油資,100,2
,2021/11/27 上午 12:00:00,WF20211127004,1,6114,汔車油資,94,1
,2021/11/27 上午 12:00:00,WF20211127004,3,1113,汔車油資,99,2
,2021/11/28 上午 12:00:00,WF20211128001,1,6114,汔車油資,445,1
,2021/11/28 上午 12:00:00,WF20211128001,3,1113,汔車油資,467,2
,2021/11/28 上午 12:00:00,WF20211128002,1,6114,借用汔車百貨,142,1
,2021/11/28 上午 12:00:00,WF20211128002,3,1113,借用汔車百貨,149,2
,2021/12/15 上午 12:00:00,WF20211215001,1,6114,案件合約--郵資,36,1
,2021/12/15 上午 12:00:00,WF20211215001,2,1113,案件合約--郵資,36,2
,2021/12/15 上午 12:00:00,WF20211215002,1,6114,油資,137,1
,2021/12/15 上午 12:00:00,WF20211215002,3,1113,油資,144,2
,2021/12/17 上午 12:00:00,WF20211217001,1,6114,汔車油資,265,1
,2021/12/17 上午 12:00:00,WF20211217001,3,1113,汔車油資,278,2
,2021/12/28 上午 12:00:00,WF20211228003,1,6114,油資,110,1
,2021/12/28 上午 12:00:00,WF20211228003,3,1113,油資,116,2
,2021/1/18 上午 12:00:00,WF20210118001,1,6116,1月份郵電費,800,1
,2021/1/18 上午 12:00:00,WF20210118001,3,1113,1月份郵電費,840,2
