序號,日期,傳票,項目,科目,描述,金額,借/貸
3318,2021/11/16 上午 12:00:00,WF20211116001,3,1113,郵電費,678,2
3319,2021/12/16 上午 12:00:00,WF20211216001,1,6116,郵電費,652,1
3320,2021/12/16 上午 12:00:00,WF20211216001,2,6123,郵電費,33,1
3321,2021/12/16 上午 12:00:00,WF20211216001,3,1113,郵電費,685,2
3257,2021/11/25 上午 12:00:00,WF20211125001,1,6123,油資,8,1
3258,2021/11/25 上午 12:00:00,WF20211125001,2,1113,油資,158,2
3332,2021/11/25 上午 12:00:00,WF20211125001,3,6114,油資,150,1
2726,2021/2/11 上午 12:00:00,WF20210211001,1,6134,五金百貨,100,1
2727,2021/2/11 上午 12:00:00,WF20210211001,2,6123,五金百貨,5,1
2728,2021/2/11 上午 12:00:00,WF20210211001,3,1113,五金百貨,105,2
2955,2021/3/19 上午 12:00:00,WF20210319001,1,6134,停車費,19,1
2956,2021/3/19 上午 12:00:00,WF20210319001,2,6123,停車費,1,1
2957,2021/3/19 上午 12:00:00,WF20210319001,3,1113,停車費,20,2
3000,2021/4/8 上午 12:00:00,WF20210408002,1,6134,出差停車費,19,1
3001,2021/4/8 上午 12:00:00,WF20210408002,2,6123,出差停車費,1,1
3002,2021/4/8 上午 12:00:00,WF20210408002,3,1113,出差停車費,20,2
3129,2021/5/5 上午 12:00:00,WF20210505002,1,6134,有線電視投資、時事取得,512,1
3130,2021/5/5 上午 12:00:00,WF20210505002,2,1262,有線電視投資、時事取得,512,2
3144,2021/6/5 上午 12:00:00,WF20210605001,1,6134,有線電視投資、時事取得,512,1
3145,2021/6/5 上午 12:00:00,WF20210605001,2,1262,有線電視投資、時事取得,512,2
3243,2021/7/10 上午 12:00:00,WF20210710001,1,6134,有線電視投資、時事取得,512,1
3244,2021/7/10 上午 12:00:00,WF20210710001,2,1262,有線電視投資、時事取得,512,2
3245,2021/8/10 上午 12:00:00,WF20210810001,1,6134,有線電視投資、時事取得,512,1
3246,2021/8/10 上午 12:00:00,WF20210810001,2,1262,有線電視投資、時事取得,512,2
3239,2021/8/23 上午 12:00:00,WF20210823001,1,6134,公司行銷業務補貼行動費用,684,1
3240,2021/8/23 上午 12:00:00,WF20210823001,2,6123,公司行銷業務補貼行動費用,34,1
3241,2021/8/23 上午 12:00:00,WF20210823001,3,1113,公司行銷業務補貼行動費用,718,2
