序號,日期,傳票,項目,科目,描述,金額,借/貸,
2962,2021/3/19 上午 12:00:00,WF20210319002,2,6123,油資,6.00,1,
2963,2021/3/19 上午 12:00:00,WF20210319002,3,1113,油資,133.00,2,
2958,2021/3/25 上午 12:00:00,WF20210325001,1,6114,油資,130.00,1,
2959,2021/3/25 上午 12:00:00,WF20210325001,2,6123,油資,7.00,1,
2960,2021/3/25 上午 12:00:00,WF20210325001,3,1113,油資,137.00,2,
2994,2021/4/1 上午 12:00:00,WF20210401001,1,6114,油資,131.00,1,
2996,2021/4/1 上午 12:00:00,WF20210401001,2,1113,油資,138.00,2,
2998,2021/4/1 上午 12:00:00,WF20210401001,3,6123,油資,7.00,1,
2991,2021/4/8 上午 12:00:00,WF20210408001,1,6114,油資,135.00,1,
2992,2021/4/8 上午 12:00:00,WF20210408001,2,6123,油資,7.00,1,
2993,2021/4/8 上午 12:00:00,WF20210408001,3,1113,油資,142.00,2,
2995,2021/4/8 上午 12:00:00,WF20210414001,1,6123,油資,7.00,1,
2997,2021/4/14 上午 12:00:00,WF20210414001,2,6114,油資,132.00,1,
2999,2021/4/14 上午 12:00:00,WF20210414001,3,1113,油資,139.00,2,
3009,2021/4/25 上午 12:00:00,WF20210425001,1,6114,油資,130.00,1,
3010,2021/4/25 上午 12:00:00,WF20210425001,2,6123,油資,7.00,1,
3011,2021/4/25 上午 12:00:00,WF20210425001,3,1113,油資,137.00,2,
3115,2021/5/2 上午 12:00:00,WF20210502001,1,6114,油資,130.00,1,
3116,2021/5/2 上午 12:00:00,WF20210502001,2,6123,油資,7.00,1,
3117,2021/5/2 上午 12:00:00,WF20210502001,3,1113,油資,137.00,2,
3118,2021/5/9 上午 12:00:00,WF20210509001,1,6114,油資,48.00,1,
3119,2021/5/9 上午 12:00:00,WF20210509001,2,6123,油資,2.00,1,
3120,2021/5/9 上午 12:00:00,WF20210509001,3,1113,油資,50.00,2,
3121,2021/5/14 上午 12:00:00,WF20210514001,1,6114,油資,130.00,1,
3122,2021/5/14 上午 12:00:00,WF20210514001,2,6123,油資,6.00,1,
3123,2021/5/14 上午 12:00:00,WF20210514001,3,1113,油資,136.00,2,
3124,2021/5/23 上午 12:00:00,WF20210523001,1,6114,油資,133.00,1,
3125,2021/5/23 上午 12:00:00,WF20210523001,2,6123,油資,7.00,1,
3126,2021/5/23 上午 12:00:00,WF20210523001,3,1113,油資,140.00,2,
3135,2021/5/31 上午 12:00:00,WF20210531002,1,6114,油資,137.00,1,
3136,2021/5/31 上午 12:00:00,WF20210531002,2,6123,油資,7.00,1,
3137,2021/5/31 上午 12:00:00,WF20210531002,3,1113,油資,144.00,2,
3138,2021/6/24 上午 12:00:00,WF20210624001,1,6114,油資,131.00,1,
3139,2021/6/24 上午 12:00:00,WF20210624001,2,6123,油資,7.00,1,
3140,2021/6/24 上午 12:00:00,WF20210624001,3,1113,油資,138.00,2,
3157,2021/7/1 上午 12:00:00,WF20210701001,1,6114,油資,137.00,1,
3158,2021/7/1 上午 12:00:00,WF20210701001,2,6123,油資,7.00,1,
3159,2021/7/1 上午 12:00:00,WF20210701001,3,1113,油資,144.00,2,
3160,2021/7/20 上午 12:00:00,WF20210720001,1,6114,油資,48.00,1,
3161,2021/7/20 上午 12:00:00,WF20210720001,2,6123,油資,2.00,1,
3162,2021/7/20 上午 12:00:00,WF20210720001,3,1113,油資,50.00,2,
3163,2021/7/28 上午 12:00:00,WF20210728001,1,6114,油資,95.00,1,
3164,2021/7/28 上午 12:00:00,WF20210728001,2,6123,油資,5.00,1,
3165,2021/7/28 上午 12:00:00,WF20210728001,3,1113,油資,100.00,2,
3208,2021/8/1 上午 12:00:00,WF20210801001,1,6114,油資,95.00,1,
3209,2021/8/1 上午 12:00:00,WF20210801001,2,6123,油資,5.00,1,
