序號,日期,傳票編號,會計項目,會計編碼,摘要,借方金額,貸方金額,datatype
28,1071231,WF20181231053,,1121,資產減少-20180926,51522,,-
29,1071231,WF20181231053,,7243,透過損益按公允價值衡量之金融資產-20180926,,211,-
30,1071231,WF20181231054,,1113,透過損益按公允價值衡量之金融資產-20180926,47589,,-
31,1071231,WF20181231055,,7161,沖帳-WF20180314006-透過損益按公允價值衡量之金融資產-因同時記帳將0314調整成0316,71,,-
32,1071231,WF20181231055,,1121,沖帳-WF20180314006-透過損益按公允價值衡量之金融資產-因同時記帳將0314調整成0316,13029,,-
33,1071231,WF20181231055,,1121,資產減少-20180926,,51733,-
34,1071231,WF20181231055,,1113,沖帳-WF20180314006-透過損益按公允價值衡量之金融資產-因同時記帳將0314調整成0316,,13041,-
35,1071231,WF20181231055,,7243,沖帳-WF20180314006-透過損益按公允價值衡量之金融資產-因同時記帳將0314調整成0316,,59,-
36,1071231,WF20181231056,,1113,透過損益按公允價值衡量之金融資產-0316,13041,,-
37,1071231,WF20181231056,,7243,透過損益按公允價值衡量之金融資產-0316,20,,-
38,1071231,WF20181231056,,6123,透過損益按公允價值衡量之金融資產-0316,39,,-
39,1071231,WF20181231056,,1121,透過損益按公允價值衡量之金融資產-0316,,13029,-
40,1071231,WF20181231057,,1113,沖帳-透過損益按公允價值衡量之金融資產--WF20180316002,13100,,-
41,1071231,WF20181231057,,1113,透過損益按公允價值衡量之金融資產-1070904沖帳,10303,,-
42,1071231,WF20181231057,,7161,透過損益按公允價值衡量之金融資產-0316,,71,-
43,1071231,WF20181231057,,1121,沖帳-WF20180316002-透過損益按公允價值衡量之金融資產,,13041,-
44,1071231,WF20181231057,,7243,沖帳-WF20180316002-透過損益按公允價值衡量之金融資產,,59,-
45,1071231,WF20181231058,,1121,透過損益按公允價值衡量之金融資產-1070904,10303,,-
46,1071231,WF20181231058,,1121,透過損益按公允價值衡量之金融資產-1070904沖帳,,10283,-
47,1071231,WF20181231058,,7243,透過損益按公允價值衡量之金融資產-1070904沖帳,,20,-
48,1071231,WF20181231059,,7243,透過損益按公允價值衡量之金融資產-1070904,20,,-
49,1071231,WF20181231059,,1113,透過損益按公允價值衡量之金融資產-1070926沖帳,37400,,-
50,1071231,WF20181231059,,1113,透過損益按公允價值衡量之金融資產-1070904,,10323,-
51,1071231,WF20181231060,,1121,透過損益按公允價值衡量之金融資產-1070926,37400,,-
52,1071231,WF20181231060,,1121,透過損益按公允價值衡量之金融資產-1070926沖帳,,37347,-
53,1071231,WF20181231060,,7243,透過損益按公允價值衡量之金融資產-1070926沖帳,,53,-
54,1071231,WF20181231061,,7243,透過損益按公允價值衡量之金融資產-1070926,53,,-
55,1071231,WF20181231061,,1113,透過損益按公允價值衡量之金融資產-1071008沖帳,17400,,-
56,1071231,WF20181231061,,1113,透過損益按公允價值衡量之金融資產-1070926,,37453,-
57,1071231,WF20181231062,,1121,透過損益按公允價值衡量之金融資產-1071008,17400,,-
58,1071231,WF20181231062,,1121,透過損益按公允價值衡量之金融資產-1071008沖帳,,17376,-
59,1071231,WF20181231062,,7243,透過損益按公允價值衡量之金融資產-1071008沖帳,,24,-
60,1071231,WF20181231063,,7243,透過損益按公允價值衡量之金融資產-1071008,24,,-
61,1071231,WF20181231063,,1113,透過損益按公允價值衡量之金融資產-1071017沖帳,25439,,-
62,1071231,WF20181231063,,1113,透過損益按公允價值衡量之金融資產-1071008,,17424,-
63,1071231,WF20181231064,,1121,透過損益按公允價值衡量之金融資產-1071017,25439,,-
64,1071231,WF20181231064,,1121,透過損益按公允價值衡量之金融資產-1071017沖帳,,25403,-
65,1071231,WF20181231064,,7243,透過損益按公允價值衡量之金融資產-1071017沖帳,,36,-
66,1071231,WF20181231065,,7243,透過損益按公允價值衡量之金融資產-1071017,36,,-
67,1071231,WF20181231065,,3111,0630--業主增資-蕭榮濱,80000,,-
68,1071231,WF20181231065,,1113,透過損益按公允價值衡量之金融資產-1071017,,25475,-
69,1071231,WF20181231066,,1113,WF20181017001沖帳-2018-10-17-研究資材,240,,-
70,1071231,WF20181231066,,1113,0630--業主增資-蕭榮濱,,80000,-
71,1071231,WF20181231066,,1240,WF20181017001沖帳-2018-10-17-研究資材,,240,-
72,1071231,WF20181231052,,1113,透過損益按公允價值衡量之金融資產-20180926,,47589,+
73,1071231,WF20181231052,,7162,捐失7.63%-20180926,,3722,+
74,1071231,WF20181231052,,7243,透過損益按公允價值衡量之金融資產-20180926,,211,+
75,1071231,WF20181231052,,1121,資產減少-20180926,51522,,+
76,1071231,WF20181231053,,1113,WF20181017001沖帳-2018-10-17-研究資材,240,,+
77,1071231,WF20181231053,,1240,WF20181017001沖帳-2018-10-17-研究資材,,240,+
78,1071231,WF20181231054,,1113,透過損益按公允價值衡量之金融資產-20180926,47589,,+
79,1071231,WF20181231054,,7162,捐失1%-20180926,3933,,+
80,1071231,WF20181231054,,7243,透過損益按公允價值衡量之金融資產-20180926,68,,+
81,1071231,WF20181231054,,6123,交易稅-20180926,143,,+
82,1071231,WF20181231054,,1121,資產減少-20180926,,51733,+
83,1071231,WF20181231055,,7161,沖帳-透過損益按公允價值衡量之金融資產-因同時記帳將0314調整成0316,71,,+
84,1071231,WF20181231055,,1121,沖帳-透過損益按公允價值衡量之金融資產-因同時記帳將0314調整成0316,13029,,+
85,1071231,WF20181231055,,1113,沖帳-透過損益按公允價值衡量之金融資產-因同時記帳將0314調整成0316,,13041,+
86,1071231,WF20181231055,,7243,沖帳-透過損益按公允價值衡量之金融資產-因同時記帳將0314調整成0316,,59,+
87,1071231,WF20181231056,,1113,透過損益按公允價值衡量之金融資產-0316,13041,,+
88,1071231,WF20181231056,,7243,透過損益按公允價值衡量之金融資產-0316,20,,+
89,1071231,WF20181231056,,6123,透過損益按公允價值衡量之金融資產-0316,39,,+
90,1071231,WF20181231056,,1121,透過損益按公允價值衡量之金融資產-0316,,13029,+
91,1071231,WF20181231056,,7161,透過損益按公允價值衡量之金融資產-0316,,71,+
92,1071231,WF20181231057,,1113,沖帳--透過損益按公允價值衡量之金融資產--WF20180316002,13100,,+
93,1071231,WF20181231057,,1121,沖帳--透過損益按公允價值衡量之金融資產--WF20180316002,,13041,+
94,1071231,WF20181231057,,7243,沖帳--透過損益按公允價值衡量之金融資產--WF20180316002,,59,+
95,1071231,WF20181231058,,1113,透過損益按公允價值衡量之金融資產-1070904沖帳,10303,,+
96,1071231,WF20181231058,,1121,透過損益按公允價值衡量之金融資產-1070904沖帳,,10283,+
97,1071231,WF20181231058,,7243,透過損益按公允價值衡量之金融資產-1070904沖帳,,20,+
98,1071231,WF20181231059,,1121,透過損益按公允價值衡量之金融資產-1070904,10303,,+
99,1071231,WF20181231059,,7243,透過損益按公允價值衡量之金融資產-1070904,20,,+
100,1071231,WF20181231059,,1113,透過損益按公允價值衡量之金融資產-1070904,,10323,+
101,1071231,WF20181231060,,1113,透過損益按公允價值衡量之金融資產-1070926沖帳,37400,,+
102,1071231,WF20181231060,,1121,透過損益按公允價值衡量之金融資產-1070926沖帳,,37347,+
103,1071231,WF20181231060,,7243,透過損益按公允價值衡量之金融資產-1070926沖帳,,53,+
104,1071231,WF20181231061,,1121,透過損益按公允價值衡量之金融資產-1070926,37400,,+
105,1071231,WF20181231061,,7243,透過損益按公允價值衡量之金融資產-1070926,53,,+
106,1071231,WF20181231061,,1113,透過損益按公允價值衡量之金融資產-1070926,,37453,+
107,1071231,WF20181231062,,1113,透過損益按公允價值衡量之金融資產-1071008沖帳,17400,,+
108,1071231,WF20181231062,,1121,透過損益按公允價值衡量之金融資產-1071008沖帳,,17376,+
109,1071231,WF20181231062,,7243,透過損益按公允價值衡量之金融資產-1071008沖帳,,24,+
110,1071231,WF20181231063,,1121,透過損益按公允價值衡量之金融資產-1071008,17400,,+
111,1071231,WF20181231063,,7243,透過損益按公允價值衡量之金融資產-1071008,24,,+
112,1071231,WF20181231063,,1113,透過損益按公允價值衡量之金融資產-1071008,,17424,+
113,1071231,WF20181231064,,1113,透過損益按公允價值衡量之金融資產-1071017沖帳,25439,,+
114,1071231,WF20181231064,,1121,透過損益按公允價值衡量之金融資產-1071017沖帳,,25403,+
115,1071231,WF20181231064,,7243,透過損益按公允價值衡量之金融資產-1071017沖帳,,36,+
116,1071231,WF20181231065,,1121,透過損益按公允價值衡量之金融資產-1071017,25439,,+
117,1071231,WF20181231065,,7243,透過損益按公允價值衡量之金融資產-1071017,36,,+
118,1071231,WF20181231065,,1113,透過損益按公允價值衡量之金融資產-1071017,,25475,+
119,1071231,WF20181231066,,3111,0630--業主增資-蕭榮濱,80000,,+
120,1071231,WF20181231066,,1113,0630--業主增資-蕭榮濱,,80000,+
